,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
PHEMEtm_Neuron,275.4162698412677,3.668511611517782e-05,0.0018957345971563982,0.22112764619576608,0.000738379804052039
PHETA1m_Neuron,350.6214285714295,0.0008565065804904704,0.03601895734597157,0.2676306443429731,0.00309656577966638
PIt2m_Neuron,483.9571428571391,0.00634797488712859,0.18578199052132702,0.3408723747980614,0.0033383105238081676
PIt7_Neuron,411.82619047618493,0.0008942333639472772,0.027488151658767772,0.34991708126036486,0.003025696925541224
PNTKm_Neuron,425.6999999999961,0.005556905128302068,0.15071090047393365,0.28645126255769754,0.0033208247546921963
PPA_Neuron,414.8035714285685,0.001857385012878392,0.07867298578199053,0.317675398976212,0.0032593976746547746
PPA2m_Neuron,435.42380952380563,0.005981247880976434,0.16492890995260664,0.2891995614035088,0.003327321632402438
PPAm_Neuron,435.42380952380563,0.005981247880976434,0.16492890995260664,0.2891995614035088,0.003327321632402431
PPAt_Neuron,231.39047619047076,9.589931049486537e-08,0.0018957345971563982,0.2077180547351841,0.0006675772068168486
PPAtm_Neuron,266.16825396824953,1.2784484975831128e-05,0.0018957345971563982,0.22112764619576608,0.0008877412722386385
PPBNGS_Neuron,410.63690476190226,0.001820891829448323,0.07393364928909953,0.3161522325442014,0.0032496998793745753
PPCOACm_Neuron,433.25714285713894,0.0057059111510843,0.16398104265402844,0.2880939377389405,0.003326718675878318
PPCOAOm_Neuron,306.60198412698935,0.00023789344972867827,0.017061611374407582,0.2317153525148254,0.0027972535507524254
PPPG9tm_Neuron,302.81666666666655,3.183883042780964e-05,0.0018957345971563982,0.25077252198716427,0.0012084744877030402
PPPGOm_Neuron,379.5952380952379,0.00280712116113697,0.07962085308056872,0.2744536940686785,0.003254866234021188
PRGNLONEtm_Neuron,282.53888888888855,4.03752230608367e-05,0.0018957345971563982,0.22399150743099788,0.0007391759738123954
PRO1xm_Neuron,416.05952380951993,0.005467972691004402,0.13554502369668248,0.2841368165903582,0.0033127661324856244
