,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
GAPD,438.23571428571034,0.02685173187507608,0.10171102661596958,0.3332277478618942,0.0033155724950847754
GCALDDm,444.6619047619002,0.08240668114576209,0.1596958174904943,0.3018651362984218,0.0033538435668547745
GCC2am,435.4119047619001,0.0762395742700523,0.1435361216730038,0.3001426533523538,0.0033460237352392727
GCC2bim,345.6547619047626,0.00507745094250908,0.014258555133079848,0.2746019316105455,0.0027468921652463174
GCC2cm,428.72857142856674,0.0752722851836258,0.1359315589353612,0.2973431317128321,0.0033416624510903097
GCCam,435.4119047619001,0.0762395742700523,0.1435361216730038,0.3001426533523538,0.003346023735239313
GCCbim,345.6547619047626,0.00507745094250908,0.014258555133079848,0.2746019316105455,0.002746892165246328
GCCcm,428.72857142856674,0.0752722851836258,0.1359315589353612,0.2973431317128321,0.0033416624510902945
GHMT2rm,399.02857142856834,0.04112850357514883,0.0903041825095057,0.28861454046639234,0.0032990778895108605
GHMT3m,427.8619047619001,0.07367979808967173,0.1311787072243346,0.2980169971671388,0.0033387655136328056
GLACOm,444.6619047619002,0.08240668114576209,0.1596958174904943,0.3018651362984218,0.0033538435668547745
GLCt1r,321.40476190476267,0.0006267565590829874,0.006653992395437262,0.27845420857596614,0.002168159180585423
GLCt2r,465.1833333333259,0.02642988256786692,0.09505703422053231,0.37544610992148464,0.0033090668019370956
GLNS,449.3190476190439,0.027294437704495612,0.1150190114068441,0.3378291586384072,0.0033295707985714186
GLNtm,353.41904761905045,0.0008878242586937663,0.0076045627376425855,0.29971509971509974,0.002324471678707931
GLU5Km,381.5785714285702,0.02101774911753738,0.06653992395437262,0.2844780962682531,0.0032545451227384736
GLUDxm,456.46190476190026,0.0840122881199254,0.1796577946768061,0.3046626122212569,0.003361645216989226
GLUDym,453.46190476190026,0.0825578178308234,0.17395437262357413,0.3041341428158427,0.003359577894865942
GLUNm,410.17857142856724,0.04603434403260536,0.10456273764258556,0.29279153910381295,0.0033160535176613814
GLUTCOADHm,438.1619047619001,0.07671416995997353,0.14923954372623574,0.3004855755498429,0.0033486426912903034
GLUVESSEC,450.8190476190439,0.027776490837924637,0.11787072243346007,0.3381549341047895,0.003331428781985244
GLUt2m,514.4523809523766,0.0881040644748077,0.21673003802281368,0.3622589531680441,0.0033754877220403194
GLUt6,477.4333333333261,0.02660749187458622,0.11026615969581749,0.38171262699564584,0.003325486011548729
GLYATm,344.0452380952387,0.009465243451863828,0.0370722433460076,0.2676844783715013,0.003128707634134687
GLYCLTDym,425.72857142856674,0.07355259871002431,0.13022813688212928,0.29683972911963885,0.003338047157542863
GLYCt,235.32142857142298,3.6091165167285136e-06,0.0028517110266159697,0.20839936608557844,0.000610340324039508
GLYCtm,295.1952380952394,0.0005235012021870692,0.0028517110266159697,0.24261992619926198,0.0008963795131382221
GLYKm,439.4952380952335,0.07645389815233428,0.1520912547528517,0.3003997715591091,0.003350449360407522
GLYOXm,440.1619047619002,0.08041109112511935,0.15114068441064638,0.3010875787063538,0.0033498778042256685
GLYt2r,467.0166666666593,0.02638586929872856,0.09695817490494296,0.37638640429338105,0.003311682513051832
GLYtm,364.8357142857162,0.0028861927232978982,0.014258555133079848,0.3048391770501304,0.002735607695336787
GND,313.3428571428571,0.0017165146040192608,0.013307984790874524,0.2599456387447492,0.002656791859634879
GTHOm,425.22857142856674,0.07375888056284563,0.12927756653992395,0.29675599435825106,0.0033374796512140917
GTHPm,391.2952380952358,0.03905451547783899,0.07889733840304182,0.2870395634379263,0.0032817938890204175
H2CO3Dm,400.9952380952349,0.045445081270845795,0.09600760456273764,0.28885227896760024,0.0033066519108465027
H2O2t,277.0952380952365,5.160030817697679e-05,0.0038022813688212928,0.24040219378427788,0.0013684757085324398
H2O2tm,319.6047619047627,0.0010866456948194561,0.005703422053231939,0.2634610568494866,0.00199874207486218
H2Ot,381.5595238095237,0.004989273884041195,0.03326996197718631,0.31820931639443434,0.003100515264711722
H2Otm,439.1190476190432,0.042734697825452674,0.10741444866920152,0.3332277478618942,0.003321157839267511
HACD1m,429.72857142856674,0.07558634955620536,0.13783269961977188,0.29751131221719457,0.0033427748279001596
HACD9m,429.22857142856674,0.0755586642650812,0.13688212927756654,0.29742719819055696,0.0033422344531170317
HBZOPT10m,306.90079365079947,0.00602003789304605,0.014258555133079848,0.23720405862457722,0.002720016137665317
HCO3Em,446.71190476190014,0.0826273104832071,0.16159695817490494,0.303082685105157,0.0033546749945612174
HEX1,435.5690476190436,0.02662992260828137,0.0979087452471483,0.33238546603475516,0.0033124210975796703
HIBDm,429.1952380952334,0.0753186690046073,0.1359315589353612,0.29784824462061155,0.0033416948401610498
HMBS,383.2690476190475,0.00612628330453457,0.03517110266159696,0.312630014858841,0.003119720213593812
HMGCOASim,454.92857142856684,0.08408972422327712,0.17680608365019013,0.3046626122212569,0.0033605475120946442
HMGLm,342.2952380952389,0.004503673577049613,0.014258555133079848,0.2731048805815161,0.0027514385991743275
HPROxm,428.72857142856674,0.07524126119744179,0.1359315589353612,0.2973431317128321,0.003341258798853657
Ht,462.5166666666592,0.026346270117415523,0.0903041825095057,0.37464387464387466,0.003303893579483171
Htm,499.93571428571073,0.08639476204935698,0.19486692015209126,0.3564893256523212,0.0033696150530667874
ICDHxm,385.4452380952367,0.03085763088670548,0.07509505703422054,0.2842475006754931,0.0032740629198128655
ICDHyrm,378.27857142857056,0.023222229519776677,0.06273764258555133,0.28378742918802263,0.0032453043711069044
ILETA,368.8523809523824,0.0021537805318969628,0.017110266159695818,0.3078724026924203,0.0027756914930463943
ILETAm,363.47857142857197,0.011382717473206117,0.0370722433460076,0.28023441662226956,0.003127712216419624
ILEt5m,282.9714285714273,9.289171841705295e-05,0.0038022813688212928,0.2449359720605355,0.0015270698632260575
ILEtec,268.62142857142584,1.548912784825763e-05,0.0038022813688212928,0.2361391694725028,0.0012670290465260235
IMACTD_m,444.6619047619002,0.08240668114576209,0.1596958174904943,0.3018651362984218,0.0033538435668547897
ITCOAL1m,373.51190476190436,0.018590715953886446,0.055133079847908745,0.2815092320042815,0.003221653602976738
ITCOALm,388.14523809523627,0.025114456648728453,0.07889733840304182,0.28486325480639046,0.0032802981683998653
Kt1r,327.95476190476336,0.0007553815112636389,0.005703422053231939,0.28317631224764467,0.0020697663499269427
L-LACt2r,463.5166666666592,0.026362567257301548,0.09220532319391635,0.37491090520313614,0.0033052202705036227
L-LACtm,500.43571428571073,0.08640983177297368,0.1958174904942966,0.3566101694915254,0.0033698733032198323
LCADi_Dm,444.6619047619002,0.08240668114576209,0.1596958174904943,0.3018651362984218,0.0033538435668547745
LCADim,445.1619047619002,0.0824217508693788,0.1606463878326996,0.3019517795637199,0.0033542517366331446
LCYSTATm,362.26190476190544,0.011675359302921752,0.03612167300380228,0.27971284232916777,0.0031223389207437353
LDH_L,431.8190476190436,0.02632986554167695,0.0903041825095057,0.33175654367707347,0.003303419079911335
