ID,Node_type
ABUTt2r_Neuron,Neuron
ACACT10m_Neuron,Neuron
ACACT1r_Neuron,Neuron
ACACT1rm_Neuron,Neuron
ACACt2_Neuron,Neuron
ACACt2m_Neuron,Neuron
ACALDt_Neuron,Neuron
ACALDtm_Neuron,Neuron
ACCOALm_Neuron,Neuron
ACOAD10m_Neuron,Neuron
ACOAD1fm_Neuron,Neuron
ACOAD8m_Neuron,Neuron
ACOAD9m_Neuron,Neuron
ACONTm_Neuron,Neuron
ACRNtm_Neuron,Neuron
ACSm_Neuron,Neuron
ACYP_Neuron,Neuron
ACt2m_Neuron,Neuron
ADCim_Neuron,Neuron
ADK1_Neuron,Neuron
ADK1m_Neuron,Neuron
ADK3m_Neuron,Neuron
ADPRDPm_Neuron,Neuron
AGMTm_Neuron,Neuron
AGPRim_Neuron,Neuron
AGTim_Neuron,Neuron
AKGDm_Neuron,Neuron
AKGMALtm_Neuron,Neuron
ALASm_Neuron,Neuron
ALCD2if_Neuron,Neuron
ALCD2yf_Neuron,Neuron
ALDD20xm_Neuron,Neuron
ALDD2x_Neuron,Neuron
ALDD2xm_Neuron,Neuron
ALDD2y_Neuron,Neuron
ALR_Neuron,Neuron
AMETt2m_Neuron,Neuron
AOBUTDsm_Neuron,Neuron
APAT2rm_Neuron,Neuron
APOC_LYS_BTNPm_Neuron,Neuron
APOCFm_Neuron,Neuron
ARGDCm_Neuron,Neuron
ARGtiDF_Neuron,Neuron
ARGtm_Neuron,Neuron
ASNNm_Neuron,Neuron
ASNt4_Neuron,Neuron
ASNtm_Neuron,Neuron
ASPGLUm_Neuron,Neuron
ASPNATm_Neuron,Neuron
ASPTA_Neuron,Neuron
ASPTAm_Neuron,Neuron
ATPtm_Neuron,Neuron
BACCLm_Neuron,Neuron
BALAVECSEC_Neuron,Neuron
BALAtmr_Neuron,Neuron
BAMPPALDOXm_Neuron,Neuron
BDHm_Neuron,Neuron
BETALDHxm_Neuron,Neuron
BHBt_Neuron,Neuron
BHBtm_Neuron,Neuron
BTNDm_Neuron,Neuron
BTNPLm_Neuron,Neuron
BTNt2_Neuron,Neuron
BTNt2m_Neuron,Neuron
BTNt4i_Neuron,Neuron
C160CPT2_Neuron,Neuron
C160CRNt_Neuron,Neuron
C204CPT2_Neuron,Neuron
