,degree,harmonic,eigenvector,closeness,information,katz,pagerank
pcreat_m,0.0010056315366049878,1530.3928571429217,0.0017033405086727988,0.2856322169242259,0.0003976626657411539,0.008341543637707356,9.558140131272638e-05
creat_c,0.0022123893805309734,1875.3999999998696,0.013895836973529344,0.3548387096774194,0.0005191578606042812,-0.004273942596531779,0.00017502110510570125
pcreat_c,0.0014078841512469831,1869.1833333332058,0.012836882347438152,0.3541562789372462,0.0004469938524033152,0.004574026404820922,0.00012980460932173377
cl_e,0.012670957361222847,1996.633333333151,0.04718403733144167,0.37445398403374003,0.000659197375125882,-0.014434395708285641,0.0006562341712944814
for_c,0.011665325824617859,2010.1999999998038,0.03938029558236269,0.3797739077299114,0.0006547247072558219,0.038065216352742015,0.0007427117193705389
cl_c,0.012670957361222847,1999.0499999998176,0.04779894265139688,0.3750188565394479,0.00065929173381686,-0.018631574077100865,0.0006505525170361973
for_e,0.004625905068382944,1558.3666666666966,0.007512708356569193,0.29987937273823884,0.0005978132636110209,0.014715849867166361,0.0002618695568660744
i_c,0.002413515687851971,1925.9666666665014,0.015405376580869615,0.36561511875873226,0.0005327296179799797,0.0047244599216365955,0.0001697384874048861
i_e,0.0010056315366049878,1483.8833333333766,0.004109953370558404,0.2867028024449314,0.0004069475297625581,0.0037310894903728456,7.99495604240237e-05
oxa_c,0.005430410297666935,2037.4499999998363,0.02130647121593853,0.38477015941804676,0.0006130641785981808,-0.02069914696282626,0.00035543141762567186
oxa_e,0.0014078841512469831,1510.7666666667278,0.003764521621947184,0.2905054046158341,0.00046176014562165696,-0.012416324148661973,9.986659394617144e-05
clpndcoa_x,0.0022123893805309734,1549.5000000000518,0.001417503156898464,0.2954423911105829,0.0005219635273072166,-0.008552316888309947,0.00017619134765753952
clpndcrn_c,0.0008045052292839903,1578.1833333333577,0.0023339534335399454,0.30195554475889713,0.0003586850913639023,0.0033249516727909814,9.290297153145357e-05
clpndcrn_m,0.0008045052292839903,1314.6928571429162,0.00031658124428174324,0.24694546538194098,0.0003440336187169248,-0.005728522414207126,9.940827335632935e-05
clpndcoa_m,0.0006033789219629927,1313.9428571429164,0.00028401975840599593,0.24690867557232954,0.0003052122038640719,-0.006030790748097221,7.851889227432193e-05
clpnd_e,0.00020112630732099757,1354.3095238095461,0.00017845519915492259,0.26389257470410277,0.0001381191697553664,-0.00010630951364794166,4.747136976263274e-05
clpnd_c,0.0014078841512469831,1890.9333333331913,0.012624158941424955,0.35847152126892573,0.0004406985829601313,-0.0009736682571838163,0.00014291208664901547
pglyc_hs_c,0.0016090104585679806,1914.7166666665075,0.012618861081446204,0.3639291465378422,0.00047004704979314814,0.014093513822892091,0.0001434922680537557
clpn_hs_c,0.0008045052292839903,1846.4166666665537,0.005811109357907449,0.3498452012383901,0.000360669452568658,0.007853050598104667,8.326880743659196e-05
cmp_g,0.01086082059533387,1505.2833333333717,0.0009379955995534161,0.2850427105429112,0.0006130309258254513,-0.10822473870508462,0.0012152175004924268
cmpacna_c,0.0030168946098149637,1945.7166666664873,0.019893486942291535,0.37032623268285414,0.0005631636425601365,-0.018330044383462706,0.00023963075613218658
cmpacna_g,0.010257441673370876,1503.7833333333715,0.0009284937397431467,0.2849936948297604,0.0006107455614253569,-0.10503272052709212,0.001144762203107995
cmpacna_n,0.0010056315366049878,1414.9166666666924,0.00032522175124290664,0.274060191820086,0.0003850976425201321,-0.0009926078379646599,0.00011270900518063346
ctp_n,0.0026146419951729684,1426.1333333333607,0.000535473037230311,0.275,0.0005138207744470887,0.004467538597757274,0.00023388629715696534
ppi_n,0.0028157683024939663,1506.9000000000403,0.0017587170049589013,0.28685167022442737,0.0005205064157515915,0.002906287774664098,0.00028012946928304716
co2_e,0.0026146419951729684,1554.766666666717,0.00335799271064981,0.29343720491029274,0.0005136832787785449,-0.02350929185482973,0.0002634515633289858
co2_g,0.0008045052292839903,1533.1166666667114,0.0011635025984386026,0.2935931502804842,0.00035868194779676985,0.0008767294769406667,9.748671567499126e-05
co2_n,0.0012067578439259854,1483.233333333372,0.0010618905966809375,0.28492836676217764,0.0003929561493477529,-0.002227585340729647,0.0001469407302764287
co2_x,0.005229283990345937,1564.7166666667192,0.002821154860376401,0.29505667319446915,0.0006012661288759589,-0.017035881572403783,0.0003961182209206387
coa_g,0.0012067578439259854,1563.1500000000353,0.0014195043908256592,0.29991555072988296,0.0003861909225968301,-0.0018017932625591815,0.00015684564981973052
coa_l,0.001810136765888978,1596.866666666708,0.001992368708550731,0.30104141438604987,0.00045427648004318,0.00539879909210915,0.00019582381937380933
coa_r,0.01991150442477876,1700.58333333334,0.0029380490904337927,0.3132165805720045,0.0006603854236741554,-0.032061076114987326,0.0015844037173911485
coke_r,0.0008045052292839903,1492.6166666667075,0.00025419208265259384,0.2838223541500171,0.00034447538755376025,0.010793515603700487,0.00011020946571146398
egme_r,0.0012067578439259854,1493.9500000000412,0.0002646964394587515,0.2839033860560726,0.0004013556857819988,0.01270425008460621,0.00015261013309856696
2dpmhobq_m,0.001810136765888978,1565.500000000063,0.0022778528326980385,0.2935064935064935,0.0004952577435266658,0.0010706128321114612,0.00014445607708633406
q10_m,0.009452936444086886,1971.1499999998352,0.01063362121522312,0.3678875323714391,0.0006438292358394244,0.038393510094874565,0.0006246988022144489
2dp6mobq_m,0.0014078841512469831,1562.4000000000622,0.001546608855244164,0.2931258106355383,0.00045207597253521596,-0.0044287680585725795,0.0001243804739503121
2dp6mobq_me_m,0.001810136765888978,1563.566666666729,0.0021511178052147995,0.2931776637773454,0.0004922014082373508,-0.0028223215454746234,0.00014787609194102407
2dp6mep_m,0.0012067578439259854,1561.9333333333957,0.001600610099334041,0.29309125206319264,0.0004303250570237918,-0.01191762974258294,0.00010908090835889606
Tn_antigen_g,0.0030168946098149637,1434.442857142891,0.0001867934351982254,0.27341215287324716,0.0005250892197433285,-0.020668048447351872,0.00033610482232626046
core3_g,0.0008045052292839903,1166.1023809525027,2.275460075145974e-05,0.22365165759524988,0.00034885676852775547,-0.0007881841785345925,0.00010506772730174643
core4_g,0.0010056315366049878,1166.985714285836,3.386854459172865e-05,0.22371203599550057,0.00038322217299179673,-0.0004998700716459822,0.00012440754230744444
core5_g,0.0006033789219629927,1165.3261904763121,1.9269080897461582e-05,0.2236214806152739,0.0003083624561246405,0.0011346965860383103,8.465270517657154e-05
core6_g,0.0012067578439259854,1431.2261904762222,0.00014846450782512452,0.27371318469584366,0.000419016832932838,0.0014122661600365722,0.00014101662218731924
core7_g,0.0006033789219629927,1165.3261904763121,1.9269080897461582e-05,0.2236214806152739,0.0003083624561246403,0.0011346965860383111,8.465270517657154e-05
core8_g,0.0006033789219629927,1165.385714285836,2.2517277278965418e-05,0.22361142343152687,0.00030977794093961324,-0.00044551709231259657,8.421104718747551e-05
co_c,0.001810136765888978,1921.8166666665027,0.015165471899412475,0.36545387725101064,0.0004791945315421551,-0.0054219682739876825,0.00018260911830050999
co_e,0.00020112630732099757,1370.950000000019,0.00021430338879205668,0.26765719207579675,0.00014168650533968603,-0.0005511395153283292,4.7385711330281964e-05
T4hcinnm_m,0.0016090104585679806,1580.9500000000671,0.002121595496962214,0.2957411372828932,0.0004789898658130423,0.006039605595948914,0.0001265369434517847
coumarin_e,0.00020112630732099757,1370.5333333333522,0.00020766057118700048,0.2676139727649497,0.00013778763697173458,-0.0001815790399376099,4.913981503485108e-05
coumarin_c,0.0014078841512469831,1920.6499999998364,0.01469715136856418,0.3653733098177543,0.0004373410202208198,-0.0017263635200804987,0.0001566568103399808
ntm2amep_c,0.0008045052292839903,1856.4333333332136,0.007179856369618888,0.35197508141016565,0.0003603202327710405,0.011128172596176069,8.32714712348952e-05
cmpntm2amep_c,0.0008045052292839903,1856.4333333332136,0.007179856369618888,0.35197508141016565,0.0003603202327710391,0.011128172596176067,8.327147123489522e-05
cpppg3_c,0.0014078841512469831,1921.399999999836,0.012428208406416593,0.36553448022349655,0.0004458886674645486,-0.0030074835481428766,0.00014343811666370739
pppg9_c,0.0012067578439259854,1921.0666666665027,0.012214960651618425,0.36553448022349655,0.0004300294111853459,-0.003476844076804438,0.00011821738686153999
creat_e,0.0006033789219629927,1479.8000000000422,0.0027444036795728492,0.28615827338129496,0.0003171516098884889,0.00613784621709472,6.39330592580624e-05
crmp_hs_e,0.00020112630732099757,1338.742857142879,0.0001495730907287295,0.26079202727511147,0.00013052583759447686,-0.0009971781517753918,5.073083531939155e-05
pcrn_x,0.0010056315366049878,1524.7500000000541,0.0010247456746199073,0.29093036863662963,0.00040173659748088755,-0.012943621156032151,0.00010307475708326908
crn_x,0.008045052292839902,1567.1333333333923,0.002566949793662024,0.2944276662521466,0.0006282709537943951,-0.062094515369801664,0.0006722638439023215
pcrn_c,0.0012067578439259854,1567.1833333333702,0.0024241742511177645,0.2991216460113103,0.000426241136502876,-0.003102915075793633,0.00012212859989035638
acrn_x,0.0010056315366049878,1498.4500000000526,0.0008314254959106875,0.2847651775486827,0.0004047240367672049,-0.022018729840780796,0.00010171401911870694
crn_e,0.0010056315366049878,1900.4166666665205,0.009148283205616605,0.35919664788325384,0.00041130093722299563,-0.012716123347908464,9.248510927675372e-05
dmnoncrn_x,0.0010056315366049878,1314.247619047666,0.00022721473101725817,0.25047858942065493,0.000387286917851386,-0.014588756695864418,0.00010992939991721714
dmnoncrn_m,0.0010056315366049878,1341.5690476190987,0.000353533523300317,0.2519892554862906,0.0003885045998472988,-0.00688992677034499,0.00010906553113307802
crtn_c,0.00040225261464199515,1582.4166666666856,0.0025349827486880684,0.30396772024209817,0.00024252007953406187,0.011160325522874244,5.690768939334673e-05
crtsl_e,0.00020112630732099757,1372.216666666686,0.00021717909396067134,0.26787349819514034,0.00014325688805785766,-0.000511415424218966,4.63209415239524e-05
crtsl_c,0.0020112630732099755,1924.4833333331678,0.015369150233151694,0.36585724797645325,0.0004976443649840517,-0.00502472736289406,0.00019036398580532345
crtsl_m,0.001810136765888978,1564.8833333333964,0.002443397009948515,0.29333333333333333,0.0004939569366264242,-0.0006975292841133765,0.00014962972993057055
crtsl_r,0.0020112630732099755,1503.166666666709,0.0006420017950704686,0.2853371592539455,0.0005032656309763163,-0.008888749111716407,0.00018177232461458973
crtstrn_e,0.00020112630732099757,943.4619047618106,4.1289176532004085e-07,0.1847914963205233,8.176230045477588e-05,-2.8210727950458263e-05,8.987476824076494e-05
crtstrn_c,0.0006033789219629927,1173.830952381065,2.9157491717331483e-05,0.22666970594939595,0.00013774909856274753,-0.00019268040020898225,0.00019477271927576589
crtstrn_m,0.0014078841512469831,1562.4000000000624,0.0020581286342684496,0.293022159358793,0.0004361906249400216,-0.0017809556668933056,0.00016821120396903877
crtstrn_r,0.00020112630732099757,943.4619047618106,4.1289176532004085e-07,0.1847914963205233,8.176230045477588e-05,-2.821072795045828e-05,8.987476824076494e-05
crvnc_e,0.0006033789219629927,1482.550000000043,0.0027606966920686454,0.2867689468220095,0.00031615448737509603,0.007320878534874666,6.374515235155339e-05
crvnc_c,0.001810136765888978,1901.1833333331854,0.015048137131553294,0.36005503657035265,0.0004968115315664363,0.007556380581267784,0.00014119547997069976
cspg_a_l,0.0008045052292839903,1373.1023809524188,0.0001284860537260321,0.2611344537815126,0.00033008997893779746,0.001138816478999355,0.00011857080778834346
Ser_Gly_Ala_X_Gly_l,0.0026146419951729684,1368.3166666667096,0.00017646694839733635,0.25821864450792004,0.0005047646589045508,0.0016958032090204065,0.00031101662677249795
cs_a_l,0.0016090104585679806,1467.8166666667044,0.0005640119342404185,0.280713640469738,0.00045925174091427854,-8.290631411278221e-05,0.00017449044081849842
cspg_b_l,0.0008045052292839903,1373.0523809524188,0.00012846819396168354,0.2611207394569613,0.00032998649525850336,0.0011295983642244962,0.00011887983242822968
cs_b_l,0.0016090104585679806,1467.8166666667044,0.0005627512905780851,0.280713640469738,0.00045861980917133265,-0.00015992092767427713,0.0001753198322555602
cspg_c_l,0.0008045052292839903,1373.1023809524188,0.0001284858530003976,0.2611344537815126,0.00033007618250563745,0.0011388364972078696,0.00011857499657520622
cs_c_l,0.0016090104585679806,1467.8166666667044,0.0005639982157351623,0.280713640469738,0.0004591931294483261,-9.334631290666592e-05,0.00017444482625793447
cspg_d_l,0.0008045052292839903,1373.0523809524188,0.00012846820682736935,0.2611207394569613,0.00032998920746640526,0.0011297052353874415,0.0001188483850827785
cs_d_l,0.0016090104585679806,1467.8166666667044,0.0005627521481216532,0.280713640469738,0.000458601658271365,-0.00016124793663607357,0.00017527214870783107
cspg_e_l,0.0008045052292839903,1373.135714285752,0.00012848335711990375,0.2611344537815126,0.00033053659565460033,0.0011268329580247046,0.00011836772748657063
cs_e_l,0.0016090104585679806,1467.8166666667044,0.0005637981099742996,0.280713640469738,0.0004594991597633407,-8.227175471270365e-05,0.00017562088684314062
pcrn_m,0.0008045052292839903,1324.2690476191028,0.00040396793788685496,0.24909819639278558,0.0003632520284760598,-0.004534018685013282,8.63149771671713e-05
dmnoncoa_x,0.0028157683024939663,1505.416666666708,0.0016280163118702236,0.2860924103803441,0.0005475513385063915,-0.016122686123956696,0.00022805679288958615
ppcoa_x,0.0062349155269509245,2003.6333333331518,0.019158600162542307,0.3789345324289307,0.000617807703406728,-0.013295902855188871,0.0004620103959677017
crn_r,0.007642799678197908,1551.41666666672,0.0045225824505810384,0.29454976303317537,0.0006297361442428552,-0.014094686771974148,0.0006011454742580457
