,Gene_ID,Reactions
153,7084,"['DURIK1m_Neuron', 'TMDK1m_Neuron', 'TMDK1m', 'DURIK1m']"
154,1854,"['DUTPDPm_Neuron', 'DUTPDPm']"
155,1892,"['ECOAH1m', 'ECOAH12m', 'ECOAH9m', 'PRPNCOAHYDm', 'PRPNCOAHYDm_Neuron', 'ECOAH12m_Neuron', 'ECOAH1m_Neuron', 'ECOAH9m_Neuron']"
156,2027,"['ENO', 'ENO_Neuron']"
157,2023,"['ENO', 'ENO_Neuron']"
158,2026,"['ENO', 'ENO_Neuron']"
159,2109,"['ETF_Neuron', 'ETF']"
160,2108,"['ETF_Neuron', 'ETF']"
161,2110,"['ETFQO', 'ETFQO_Neuron']"
162,1571,"['ETOHMO_Neuron', 'ETOHMO']"
163,230,"['FBA_Neuron', 'FBA']"
164,226,"['FBA_Neuron', 'FBA']"
165,2235,"['FCLTm_Neuron', 'FCLTm']"
166,4891,"['FE2t', 'Fe2t_Neuron', 'FE2t_Int']"
167,2356,"['FPGS3m_Neuron', 'FPGS7m_Neuron', 'FPGS3m', 'FPGS9m', 'FPGS2m', 'FPGS7m', 'FPGS4m', 'FPGS5m', 'FPGS4m_Neuron', 'FPGS5m_Neuron', 'FPGSm', 'FPGS6m', 'FPGS6m_Neuron', 'FPGS8m_Neuron', 'FPGSm_Neuron', 'FPGS8m', 'FPGS9m_Neuron', 'FPGS2m_Neuron']"
168,25902,"['MTHFDm_Neuron', 'MTHFDm', 'FTHFLm', 'MTHFCm_Neuron', 'MTHFCm', 'FTHFLm_Neuron']"
169,1468,"['FUMtm', 'FUMSO4tm_Neuron', 'MALtm', 'FUMtm_Neuron', 'FUMTSULtm', 'MALSO3tm_Neuron', 'MALtm_Neuron', 'MALSO4tm_Neuron', 'MALTSULtm_Neuron', 'FUMSO3tm', 'SUCCt2m', 'SUCCt2m_Neuron', 'MALTSULtm', 'FUMTSULtm_Neuron', 'FUMSO3tm_Neuron', 'MALSO4tm', 'FUMSO4tm', 'MALSO3tm']"
