,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
HEX1_Neuron,0.031784924461257746,-0.25957755391837867,-0.03871825405010866,0.08665412064838152,0.037875688869500886,0.08790178652489505,0.023669239841492145,0.08369569193708906,0.023669239841492145,0.03157096093779658,-0.2835647769829201,-0.01328324481820239
HIBDm_Neuron,0.0014407739081171603,0.00029401672014439407,0.05903032689061637,0.5838352930401026,0.00016870473672656516,0.4628967669774263,0.010575526530877401,-8.39109808958471e-05,0.010575526530877401,0.24706636483359037,0.09523390179406384,2.5649075408599713
HMBS_Neuron,0.001702808049355364,0.3753472551597832,-0.0012209219756477156,-0.0032947974216147543,0.00012205764899086962,-0.0031723618088726866,-0.0005110615927948597,-0.00047183253264246544,-0.0005110615927948597,-0.001743492557206618,-27.64162592324276,-0.0006542256201287447
HMGCOASim_Neuron,0.0014920530528354172,0.029430914659236085,-0.0013224121046510634,-0.0027133127259228607,6.388717947862625e-05,-0.0027197754970474854,-0.00048477451120213037,0.0004804870751606558,-0.00048477451120213037,-0.0007103982493873161,0.07058671805839681,-0.001071585755902408
HMGLm_Neuron,0.0016396208908131264,0.04652883294004621,-0.0012180076686115035,-0.0027057743847637753,9.8920883262365e-05,-0.0027090805840589067,-0.0004879394856299048,-0.0002480644411305238,-0.0004879394856299048,-0.0005620467157435096,0.49682792245863877,-0.0011367515489487375
HPROxm_Neuron,0.001330746305910194,2.256803830655233e-05,-0.001368359308100945,-0.002726105152571197,0.00021544398056197692,-0.0027285691515654895,-0.0010186104512566639,0.0010537325698053608,-0.0010186104512566639,-0.0013306418364986438,0.09020520532961583,-0.0009054570397998355
Ht_Neuron,0.0016361304718735847,0.07108888604063955,-0.0013140114682220754,-0.00419627629129515,0.00040173024986953266,-0.002758159004309485,-0.0001722674783256015,-0.00568606449521173,-0.0001722674783256015,-0.010614387016654264,0.16742576364536335,-0.0022145656763152416
Htm_Neuron,0.0018171396828937088,0.3768199649487185,-0.00122229341629,-0.0034954583167733587,0.00031996955505972255,-0.002911465549051261,-0.000438267770922441,-0.0016578170269171964,-0.000438267770922441,-0.007664446973592587,0.030037364942660263,-0.0006408585685877435
ICDHxm_Neuron,0.001702808049355364,0.3753472551597832,-0.0012209219756477156,-0.0032947974216147543,0.00012205764899086962,-0.0031723618088726866,-0.0005110615927948597,-0.00047183253264246544,-0.0005110615927948597,-0.001743492557206618,0.12387970230069842,-0.0006542256201287447
ICDHyrm_Neuron,0.001702808049355364,0.3753472551597832,-0.0012209219756477156,-0.0032947974216147543,0.00012205764899086962,-0.0031723618088726866,-0.0005110615927948597,-0.00047183253264246544,-0.0005110615927948597,-0.001743492557206618,-0.18730699202117745,-0.0006542256201287447
ILETA_Neuron,0.0014375237600579007,0.011841551150741833,-0.0012704660959996074,-0.002678590996793298,4.0562129532525435e-05,-0.002685314394599605,-0.0005675057074222978,0.0005584492251308938,-0.0005675057074222978,-0.00032037493539538886,-27.94966351389118,-0.00044912414853137515
ILETAm_Neuron,0.0014532929285193583,0.028530616733498403,-0.0013140114682220754,-0.0027255340596769205,0.00021535031625686778,-0.002724291150780465,-0.0005288210293877763,0.0005418842641283446,-0.0005288210293877763,-0.0035458606367324663,-0.3087280203659582,-0.0012958360722415236
