,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
ITCOAL1m_Neuron,0.0007411208835763473,3.842148793067376e-06,-0.0009489243404856549,-0.0018719454710873122,-0.00010916402436919563,-0.0018734490712197954,-0.0007848148896447617,0.0008464457430828312,-0.0007848148896447617,-0.00041632355204682456,-0.18283443408838504,-0.0006931522480631557
ITCOALm_Neuron,0.0007606355655130142,1.8296013581709227e-07,-0.0009489243404856549,-0.001910812291966122,-4.2206526012943046e-06,-0.0018945751035813834,-0.0006423679127168408,0.0007122832188933226,-0.0006423679127168408,-0.0009942329897935241,0.22177080247228417,-0.0006980557767125488
Kt1r_Neuron,0.0008742058941804471,0.010887140775749463,-0.0009489243404856549,-0.0018942340342536935,-1.2272457916222273e-05,-0.001894492578284217,0.0006664874837268178,0.0006913455183473102,0.0006664874837268178,-0.0005581389748847504,0.16158446647293143,-0.0007248128339169473
L-LACt2r_Neuron,0.0010263429983065914,4.994563152726311e-05,-0.0009489243404856549,0.019781380283854604,0.00030256041016826486,0.02662941060341353,-0.0009818062478755228,0.0006546569100374901,-0.0009818062478755228,-0.0010357889978932194,0.28983219485822975,-0.0007090355912218348
L-LACtm_Neuron,0.0016352608637573037,0.2326703754161183,-0.0008089384370282168,0.039774038752646804,0.000649361015004348,0.04645472824150952,0.0004101763935083056,-0.0017571184025300408,0.0004101763935083056,-0.004558297838292945,0.31080667014878294,-0.00042704800669224845
LCADi_Dm_Neuron,0.0008449402391502543,0.0006710132601910177,-0.0009489243404856549,-0.0018932028688836472,-2.025945741680224e-05,-0.001893502275777643,-0.0004702655470575444,0.0008573664794936578,-0.0004702655470575444,-0.0007400198036295115,-279026980.49731827,-0.0006975227821401431
LCADim_Neuron,0.0008449402391502543,0.00024007757112111806,-0.0009489243404856549,-0.0018938374319371135,-2.025945741680224e-05,-0.0018940799520018663,-0.00048788776716350785,0.0008626447498488297,-0.00048788776716350785,-0.0007406653975075475,-0.4468867613096023,-0.0006953908095285148
LCYSTATm_Neuron,0.0008449402391502543,0.0003641410500632563,-0.0009489243404856549,-0.001892171705635984,-2.025945741680224e-05,-0.0018927595501823887,-0.0004880097224067409,0.0008659208896058842,-0.0004880097224067409,-0.0006939695891946914,-0.20806012488530837,-0.0006954974079432917
LDH_L_Neuron,0.001117269683889942,0.014559028245421714,-0.0008792238303762292,-0.001882415419956719,0.00017340554863981358,-0.0018798858148312341,-0.0002974299638049966,-0.000190746010198978,-0.0002974299638049966,-0.0013346775977926331,-0.3362491286336827,-0.0007727872360349479
LDH_Lm_Neuron,0.0012214274851881986,0.220124052839852,-0.0008321279578239544,-0.0022997258086246016,0.00010076561742069992,-0.0019485495600051574,-0.00030956003657907637,-0.0003749962153835514,-0.00030956003657907637,-0.001823780705439291,0.014920460284771467,-0.0004721169819190429
LEUTA_Neuron,0.0010171744028156478,0.02034598425630123,-0.0009112182517443844,-0.0019097810924704557,0.00016535660349354685,-0.0019166098443632285,-0.00025293523078828505,0.00033135299190967867,-0.00025293523078828505,-0.0029501657120012555,-0.12101387106790633,-0.0009379609625826227
LEUTAm_Neuron,0.001171351125701724,0.2016659836988945,-0.0008852895300787353,-0.0019496821285761743,0.00010076561742069992,-0.0019246152149296452,-0.0002681117565357919,-0.00013557536882747375,-0.0002681117565357919,-0.0012576229406030454,-660423073.5446781,-0.0005364778297368402
