,eigenvector_centrality,pagerank,katz_centrality,global_reaching_centrality,closeness_centrality,harmonic_centrality,information_centrality,load_centrality,betweenness_centrality
F1Atg,8.410557822272045e-08,0.00013514006152147692,0.011009749522806773,0.2109971827353095,0.26985227065475104,2110.588095238119,0.0002695768029749798,0.00024282249597217426,0.00011611378956508888
F1PGT,0.024898726213345983,0.00013515479532197835,0.01276484469127361,0.2109971827353095,0.48182883939038684,4085.3000000002003,0.000809156015586506,0.00010355436450980863,0.00010995316419886408
F6Tg,6.0739667332102794e-05,0.00013515231068913185,0.011202278051252151,0.2109971827353095,0.34526531945676014,2785.3428571428117,0.0007797190697424721,5.031114682027003e-06,3.545189148640531e-06
FA120ACPH,0.02851135746621921,0.00013516018120658736,0.01315345307509131,0.2109971827353095,0.503779366700715,4297.183333333282,0.0008098269402165343,0.00014170707961430566,0.00016075297271943577
FA140ACPH,0.028511383835317008,0.00013515905492826147,0.01315345333420034,0.2109971827353095,0.503779366700715,4297.183333333282,0.0008098269783794335,0.00010964794771390174,0.000129265153803597
FA141ACPH,0.028511313248754003,0.0001351568023667838,0.013152352041659557,0.2109971827353095,0.5037450633256162,4296.6833333332825,0.0008098253675059713,5.7959612848894806e-05,7.697126660568981e-05
FA160ACPH,0.028512910683143614,0.00013515997312469366,0.013157934353700957,0.2109971827353095,0.5041570124028895,4300.349999999943,0.0008098340504173842,0.0001744674830956249,0.00020230589482252782
FA161ACPH,0.028511911995286784,0.0001351602813298508,0.013155671270890616,0.2109971827353095,0.5040883074407195,4299.349999999944,0.0008098304272371019,0.0002063139207580061,0.00022709308758743255
FA180ACPH,0.02851216525349112,0.0001351590825718135,0.013154611425990278,0.2109971827353095,0.5038136747480251,4297.683333333281,0.0008098287353565584,0.00012832277256312797,0.0001471263423557225
FA181ACPH,0.02851273070228098,0.00013516086165421394,0.013157932068031088,0.2109971827353095,0.5041570124028895,4300.349999999943,0.0008098339068742022,0.00025209952574693507,0.0002846713033782402
FA1821ACPH,0.02851440507572777,0.00013516033778053363,0.013156802467435653,0.2109971827353095,0.5041226575809199,4299.849999999943,0.000809832143671756,0.00022749120807646816,0.00025144028237592176
FA1822ACPH,0.02851134105999742,0.00013516130748491325,0.013153452939787093,0.2109971827353095,0.5038136747480251,4297.349999999948,0.0008098270173407017,0.0003415189614630083,0.0003611379995262832
FA182ACPH,0.028511313248754003,0.00013515680236678376,0.013152352041659557,0.2109971827353095,0.5037450633256162,4296.6833333332825,0.0008098253675059498,5.7959612848894806e-05,7.697126660568981e-05
