,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
DM_nadph(c)_Neuron,0.0017029985,0.026644504,0.0022603162,-0.00086352526,8.839637e-05,-0.00088477804,-0.00010405325,0.0010968322,-0.00010405325,-0.001837084,0.0065914607,0.017116278
DM_atp(m)_Neuron,0.0013148959,2.0637904e-06,-0.0013679103,-0.0012913075,0.0002381763,-0.0013283173,-0.00084124034,0.0013071637,-0.00084124034,-0.0010415588,-0.07814572,-0.00014739665
sink_chsterol_Neuron,0.0044824644,0.006347482,-0.0008501027,-0.00063845486,0.0044492027,-0.0029435602,0.00062295864,-0.00037548697,0.00062295864,-0.0079039205,-0.51202345,0.00088028255
DM_1a2425thvitd3_Neuron,0.0013748619,2.338945e-05,-0.0008501027,-0.0011778739,0.00025416797,-0.0006034413,0.0002381763,0.00018125832,0.0002381763,6.8792897e-06,0.14801893,-0.00013518469
DM_1a2425thvitd2_Neuron,0.001294964,1.8918079e-06,-0.0013679103,-0.0011233119,0.00022201252,-0.0012206471,-0.0003157947,0.0012411807,-0.0003157947,-0.0011921602,-0.29690266,-0.00012219885
sink_vitd3_Neuron,0.0017378695,6.01938e-06,-0.0013679103,-0.00022488483,0.0009638127,0.00022063687,0.0017318573,0.0012836232,0.0017318573,-0.0013707507,0.13166231,0.00025743505
sink_vitd2_Neuron,0.0010464787,7.911181e-06,-0.0013679103,-0.0015480722,-0.00012297284,-0.0015570249,-0.00018076508,0.0013399823,-0.00018076508,-0.0011799394,-0.3337979,0.00011384802
CKc_Neuron,0.002426697,0.00026362532,-0.00033213673,0.00080482627,0.0015006278,0.0029446036,0.0029940328,-0.00051345956,0.0029940328,0.0044589755,-0.31424013,5.9676746e-05
CREATtmdiffir_Neuron,0.0015719247,0.000150305,-0.0008501027,-0.00038383034,0.00050657196,-0.0014326386,0.0020463455,0.0010873803,0.0020463455,-0.0009974141,-0.07578888,0.00018882459
PCREATtmdiffir_Neuron,0.0013748619,3.921151e-05,-0.0008501027,-0.0012555895,0.00025416797,-0.00069282646,0.00040771323,0.00012932516,0.00040771323,-0.0005575895,-0.1472204,-0.00015960872
ALATA_L_Neuron,0.0016141856,-0.06787331,0.0012227942,-0.0021919494,0.000135344,-0.0020298767,0.00057000987,0.0040162187,0.00057000987,-0.002464207,0.14014092,-0.022702519
