X1,index,fluxes,reduced_costs,Reaction,Node
0.6864398961392121,AASAD3m,0,0,L2aadp6sa[mA] + h2o[mA] + nad[mA] --> L2aadp[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
0.6876296135384163,AATAi,0,0,L2aadp[cA] + akg[cA] --> 2oxoadp[cA] + glu-L[cA],Astrocyte
0.6888095415775245,ABTArm,0,0,4abut[mA] + akg[mA] <=> glu-L[mA] + sucsal[mA],Astrocyte
0.6899798400210881,ABUTt2r,0,0,4abut[e] + h[e] <=> 4abut[cA] + h[cA],Astrocyte
0.6911406647547133,ACACT10m,3.3793767607868756e-31,7.486851434434052e-17,2maacoa[mA] + coa[mA] <=> accoa[mA] + ppcoa[mA],Astrocyte
0.6922921679096065,ACACT1r,0,0,2.0 accoa[cA] <=> aacoa[cA] + coa[cA],Astrocyte
0.6934344979821633,ACACT1rm,0,0,2.0 accoa[mA] <=> aacoa[mA] + coa[mA],Astrocyte
0.6945677999488339,ACACt2,0,0,acac[e] + h[e] <=> acac[cA] + h[cA],Astrocyte
0.6956922153764847,ACACt2m,0,0,acac[cA] + h[cA] <=> acac[mA] + h[mA],Astrocyte
0.6968078825284724,ACALDt,0,0,acald[e] <=> acald[cA],Astrocyte
0.6979149364666226,ACALDtm,0,0,acald[mA] <=> acald[cA],Astrocyte
0.6990135091493058,ACCOALm,0,0,atp[mA] + coa[mA] + ppa[mA] --> amp[mA] + ppcoa[mA] + ppi[mA],Astrocyte
0.7001037295257849,ACOAD10m,3.3793767607868756e-31,0,2mbcoa[mA] + fad[mA] --> 2mb2coa[mA] + fadh2[mA],Astrocyte
0.7011857236270069,ACOAD1fm,0,0,btcoa[mA] + fad[mA] --> b2coa[mA] + fadh2[mA],Astrocyte
0.7022596146529948,ACOAD8m,0,1.871712858608513e-17,fad[mA] + ivcoa[mA] --> 3mb2coa[mA] + fadh2[mA],Astrocyte
0.7033255230569928,ACOAD9m,0,0,fad[mA] + ibcoa[mA] --> 2mp2coa[mA] + fadh2[mA],Astrocyte
0.7043835666265101,ACONTm,3.3793767607868756e-31,0,cit[mA] <=> icit[mA],Astrocyte
0.7054338605613971,ACRNtm,0,0,acrn[cA] --> acrn[mA],Astrocyte
0.7064765175490818,ACSm,0,0,ac[mA] + atp[mA] + coa[mA] --> accoa[mA] + amp[mA] + ppi[mA],Astrocyte
0.7075116478370971,ACYP,0,0.10020569079313933,13dpg[cA] + h2o[cA] --> 3pg[cA] + h[cA] + pi[cA],Astrocyte
0.7085393593030044,ACt2m,0,0,ac[cA] + h[cA] <=> ac[mA] + h[mA],Astrocyte
0.7095597575218344,ACt2r,0,0,ac[e] + h[e] <=> ac[cA] + h[cA],Astrocyte
0.7105729458311437,ADCim,0,0,acac[mA] + h[mA] --> acetone[mA] + co2[mA],Astrocyte
0.711579025393792,ADK1,0,0,amp[cA] + atp[cA] <=> 2.0 adp[cA],Astrocyte
0.7125780952585314,ADK1m,2.28290398809364e-15,0,amp[mA] + atp[mA] <=> 2.0 adp[mA],Astrocyte
0.7135702524185018,ADK3m,0,0,amp[mA] + gtp[mA] <=> adp[mA] + gdp[mA],Astrocyte
0.7145555918677157,ADPRDPm,0,0,adprib[mA] + h2o[mA] --> amp[mA] + 2.0 h[mA] + r5p[mA],Astrocyte
0.7155342066556184,AGMTm,1.013813028236061e-30,0,agm[mA] + h2o[mA] --> ptrc[mA] + urea[mA],Astrocyte
0.7165061879397976,AGPRim,0,1.871712858608513e-17,acg5p[mA] + h[mA] + nadph[mA] --> acg5sa[mA] + nadp[mA] + pi[mA],Astrocyte
0.7174716250369202,AGTim,0,7.486851434434052e-17,ala-L[mA] + glx[mA] --> gly[mA] + pyr[mA],Astrocyte
0.7184306054719669,AKGDm,0,0.18048220538755874,akg[mA] + coa[mA] + nad[mA] --> co2[mA] + nadh[mA] + succoa[mA],Astrocyte
0.7193832150258302,AKGMALtm,3.795327880205677e-15,0,akg[mA] + mal-L[cA] <=> akg[cA] + mal-L[mA],Astrocyte
