ID,Module
ALDD2y_Neuron,Central
AMETt2m_Neuron,Central
AOBUTDsm_Neuron,Central
APAT2rm_Neuron,Central
APOC_LYS_BTNPm_Neuron,Central
ARGDCm_Neuron,Central
ARGtiDF_Neuron,Central
ARGtm_Neuron,Central
ASNNm_Neuron,Central
ASNtm_Neuron,Central
ASPNATm_Neuron,Central
BACCLm_Neuron,Central
BALAVECSEC_Neuron,Central
BALAtmr_Neuron,Central
BAMPPALDOXm_Neuron,Central
BDHm_Neuron,Central
BETALDHxm_Neuron,Central
BHBtm_Neuron,Central
BTNPLm_Neuron,Central
BTNt2_Neuron,Central
BTNt2m_Neuron,Central
BTNt4i_Neuron,Central
C160CRNt_Neuron,Central
C2M26DCOAHLm_Neuron,Central
CATm_Neuron,Central
CBLATm_Neuron,Central
CDPDAGtm_Neuron,Central
CDSm_Neuron,Central
CHSTEROLt3_Neuron,Central
CITRtm_Neuron,Central
CITtam_Neuron,Central
CITtbm_Neuron,Central
CK_Neuron,Central
COQ5m_Neuron,Central
COQ6m_Neuron,Central
COQ7m_Neuron,Central
COUCOAFm_Neuron,Central
CPPPGO_Neuron,Central
CRNt_Neuron,Central
CRNtim_Neuron,Central
CSNAT2m_Neuron,Central
CSNATm_Neuron,Central
CYANSTm_Neuron,Central
CYANt_Neuron,Central
CYANtm_Neuron,Central
CYSGLUexR_Neuron,Central
CYSGLYexR_Neuron,Central
CYSO_Neuron,Central
CYSTAm_Neuron,Central
CYStec_Neuron,Central
CYTK1m_Neuron,Central
D-LACt2_Neuron,Central
D-LACtm_Neuron,Central
DDPGAm_Neuron,Central
DECDPtm_Neuron,Central
DGNSKm_Neuron,Central
DGSNt_Neuron,Central
DGSNtm_Neuron,Central
DHDPBMTm_Neuron,Central
DHFtm_Neuron,Central
DMGDHm_Neuron,Central
DMGtm_Neuron,Central
DPHMBDCm_Neuron,Central
ECOAH12m_Neuron,Central
ECOAH1m_Neuron,Central
ECOAH9m_Neuron,Central
EHGLAT2m_Neuron,Central
EHGLATm_Neuron,Central
ETOHt_Neuron,Central
FALDtm_Neuron,Central
FCLTm_Neuron,Central
FE2tm_Neuron,Central
FORt2m_Neuron,Central
FPGS2m_Neuron,Central
FPGS3m_Neuron,Central
FPGS4m_Neuron,Central
FPGS5m_Neuron,Central
FPGS6m_Neuron,Central
FPGS7m_Neuron,Central
FPGS8m_Neuron,Central
FPGS9m_Neuron,Central
FPGSm_Neuron,Central
FTHFLm_Neuron,Central
FUMSO3tm_Neuron,Central
FUMSO4tm_Neuron,Central
FUMTSULtm_Neuron,Central
FUMtm_Neuron,Central
